source_text,translated_text,context
Address,Địa chỉ,
Amount,Thành tiền,
Name,Tên,
Rate,Đơn giá,
Save,Lưu,
Summary,Tóm tắt,
Access Denied,Truy cập bị từ chối,
Add Account,Thêm tài khoản,
Add Chart,Thêm biểu đồ,
Add Description,Thêm mô tả,
Add Description.,Thêm mô tả.,
Add description...,Thêm mô tả...,
Add Email,Thêm email,
Add Field,Thêm trường,
Add Mobile Number...,Thêm số di động...,
Add Note,Thêm ghi chú,
Add Notification,Thêm thông báo,
Add Sort,Thêm sắp xếp,
Add Task,Thêm công việc,
Average Commission Rate,Tỷ lệ hoa hồng trung bình,
chart,Biểu đồ,
comment,Bình luận,
Comment sent,Đã gửi bình luận,
Confirm Delete,Xác nhận xoá,
Create,Tạo,
Current Password,Mật khẩu hiện tại,
Customer,Khách hàng,
Customer Name:,Tên khách hàng:,
Check in time, Giờ vào,
Check out time, Giờ ra,
Database Name,Tên cơ sở dữ liệu,
Database Type,Loại cơ sở dữ liệu,
Date,Ngày,
Deal,Thương vụ,
Deal Status,Trạng thái thương vụ,
Deal value,Giá trị thương vụ,
Document Type,Loại tài liệu,
Edit,Sửa,
Edit Email,Sửa email,
Edit Task,Sửa công việc,
Edit View,Sửa chế độ xem,
Email sent,Đã gửi email,
Employee,Nhân viên,
field,Trường,
folder,Thư mục,
Form Name,Tên biểu mẫu,
hour,Giờ,
Last Log,Nhật ký cuối,
Last Modified,Sửa lần cuối,
Last Status,Trạng thái cuối,
list,Danh sách,
Manufacturing,Sản xuất,
minute,Phút,
Mobile No.,Số di động,
No Mobile Number Set,Chưa đặt số di động,
none,Không có,
Note deleted,Đã xoá ghi chú,
Number Chart,Biểu đồ số liệu,
Open Website,Mở trang web,
Payroll,Bảng lương,
Preview Image,Xem trước hình ảnh,
previous,Trước,
private,Riêng tư,
public,Công khai,
Public View,Chế độ xem công khai,
Quality,Chất lượng,
Rejected,Đã từ chối,
Remove All,Xoá tất cả,
Remove Image,Xoá hình ảnh,
Sales Partner,Đối tác bán hàng,
Search Template,Tìm mẫu,
Search User,Tìm người dùng,
Send email,Gửi email,
Send Template,Gửi mẫu,
Set Currency,Đặt tiền tệ,
Set First Name,Đặt tên,
Share Link,Chia sẻ liên kết,
Sort,Sắp xếp,
Stock,Tồn kho,
Support,Hỗ trợ,
Table Name,Tên bảng,
tomorrow,Ngày mai,
update,Cập nhật,
Upload Document,Tải tài liệu lên,
value,Giá trị,
View Name,Tên chế độ xem,
Website,Trang web,
week,Tuần,
(New),(mới),
(No Title),(không có tiêu đề),
Accept,Chấp nhận,
Accept Call,Chấp nhận cuộc gọi,
Add Attendee,Thêm người tham dự,
Add Condition,Thêm điều kiện,
An error occurred,Đã xảy ra lỗi,
API Token,Mã API,
Clear Sort,Xoá sắp xếp,
Create Deal,Tạo thương vụ,
Create View,Tạo chế độ xem,
Custom Actions,Hành động tuỳ chỉnh,
Custom List Actions,Hành động danh sách tuỳ chỉnh,
Delete Task,Xoá công việc,
Delete View,Xoá chế độ xem,
Edit Call Log,Sửa nhật ký cuộc gọi,
Error occurred,Đã xảy ra lỗi,
Group By:,Nhóm theo:,
Invalid credentials,Thông tin đăng nhập không hợp lệ,
Make Call,Gọi điện,
No Title,Không có tiêu đề,
Payment Reminder,Nhắc thanh toán,
Reject Call,Từ chối cuộc gọi,
Retry Sync,Thử đồng bộ lại,
Save Changes,Lưu thay đổi,
Select Holiday List,Chọn danh sách ngày lễ,
Select Priority,Chọn mức ưu tiên,
